2025-09-12 21:21:17 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:19 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:35 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:37 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:38 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:42 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:43 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:46 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:47 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:53 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:21:53 | INFO | app.handlers.admin_salons:process_quota_amount:738 | Quota refilled for salon Бьюти: +1 (total: 31)
2025-09-12 21:22:03 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:22:04 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:22:05 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:22:08 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:22:10 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:22:10 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: invalid literal for int() with base 10: 'quota'
2025-09-12 21:22:13 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:22:13 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:32:35 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:32:38 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:32:40 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:33:03 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:33:05 | INFO | app.middlewares.auth:__call__:67 | Owner 304979538 accessing system
2025-09-12 21:38:29 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:38:31 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:38:44 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:38:46 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:40:01 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:40:17 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:40:36 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:40:36 | INFO | app.handlers.master:process_first_hand_photo:281 | Processing photo for analysis 41
2025-09-12 21:40:36 | INFO | app.handlers.master:process_first_hand_photo:282 | Photos before: []
2025-09-12 21:40:36 | INFO | app.handlers.master:process_first_hand_photo:298 | Photos after commit: ['AgACAgIAAxkBAAICJWjETQQK3V4zXEDAHa-oTQSqucEnAAIG_TEb9n4gSoKF8md3YE81AQADAgADeQADNgQ']
2025-09-12 21:40:36 | INFO | app.handlers.master:process_first_hand_photo:299 | Final count: 1
2025-09-12 21:40:46 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:40:49 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:41:00 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:41:08 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:41:13 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:41:13 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:41:13 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:41:31 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:41:46 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
2025-09-12 21:41:51 | INFO | app.middlewares.auth:__call__:69 | Master 302944299 (Кристина) accessing system
