2025-09-10 14:15:01 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-10 14:15:01 | INFO | __main__:main:60 | Bot configuration complete
2025-09-10 14:15:01 | INFO | __main__:main:65 | Database connection successful
2025-09-10 14:15:02 | INFO | __main__:main:70 | Bot started: @fdawdabot
2025-09-10 14:15:02 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:15:19 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:15:21 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:15:23 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:15:25 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:15:26 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:15:28 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:15:29 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:15:44 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:16:13 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:16:13 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: 'master_name'
2025-09-10 14:16:21 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:16:52 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:16:55 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:16:57 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:17:03 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:17:09 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:17:10 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:17:12 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:17:12 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: 'master_name'
2025-09-10 14:17:14 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:17:14 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: 'master_name'
2025-09-10 14:18:06 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:18:06 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: 'master_name'
2025-09-10 14:19:08 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:19:17 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:19:17 | ERROR | app.middlewares.auth:__call__:76 | Auth middleware error: 'master_name'
2025-09-10 14:22:39 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:22:42 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:22:47 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:22:48 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:22:49 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:22:50 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:22:52 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:24:56 | INFO | __main__:main:82 | Bot stopped
2025-09-10 14:24:59 | INFO | __main__:main:36 | Starting Hair Analysis Bot...
2025-09-10 14:24:59 | INFO | __main__:main:60 | Bot configuration complete
2025-09-10 14:24:59 | INFO | __main__:main:65 | Database connection successful
2025-09-10 14:24:59 | INFO | __main__:main:70 | Bot started: @fdawdabot
2025-09-10 14:25:05 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:25:07 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:25:08 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:25:12 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:25:22 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:25:25 | INFO | app.middlewares.auth:__call__:67 | Owner 740984254 accessing system
2025-09-10 14:25:25 | INFO | app.handlers.admin_masters:process_master_salon:190 | New master created: Алишер (ID: 740984254) for salon Алматы
2025-09-10 14:26:04 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 14:26:04 | INFO | app.handlers.common:cmd_start:53 | Master started bot: A (@polis12312) [ID: 740984254]
2025-09-10 14:26:08 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 14:26:11 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
2025-09-10 14:26:23 | INFO | app.middlewares.auth:__call__:69 | Master 740984254 (Алишер) accessing system
